,CLIA,FACILITY_TYPE,CERTIFICATE_TYPE,LAB_NAME,STREET,CITY,STATE,ZIP,PHONE,Contact,Touch 1,Touch 2,Touch 3,Touch 4,Call Tag 1,Call Tag 2
71188,33D2138618,Physician Office,Compliance,Mark Kirschenbaum Medical Pc,2361 Nostrand Avenue - Ste 101,Brooklyn,NY,11210,(718) 703-7064,nan,nan,nan,nan,nan,nan,nan
71189,33D2148210,Physician Office,Registration,Endocrine Associate Of West Village Pc,36-36 33rd Street - Suite 311,Long Island City,NY,11106,(718) 704-5376,nan,nan,nan,nan,nan,nan,nan
71190,33D2149247,Physician Office,Microscopy,Joan H And Preston Robert Tisch Center At,171 Delancey Street,New York,NY,10002,(929) 455-2600,nan,nan,nan,nan,nan,nan,nan
71191,33D2152626,Physician Office,Registration,Excelsior Integrated Medical Group Pllc,"128 Mott Street, Suite 309-310",New York,NY,10014,(646) 858-3826,nan,nan,nan,nan,nan,nan,nan
71192,33D2154552,Physician Office,Registration,Qhc Upstate Medical Pc,1 Main Street,Monsey,NY,10952,(845) 371-7200,nan,nan,nan,nan,nan,nan,nan
71193,33D2156234,Physician Office,Microscopy,Westchester Medical Center Advanced,1 Webster Ave - Suite 202,Poughkeepsie,NY,12601,(845) 244-8500,nan,nan,nan,nan,nan,nan,nan
71194,33D2156873,Physician Office,Compliance,Ajay Goel Physician Pc,1617 N James Treet,Rome,NY,13440,(315) 337-0539,nan,nan,nan,nan,nan,nan,nan
71196,33D2157665,Physician Office,Compliance,Joshua U Klein MD,"200 West 57th Street, Suite 1101",New York,NY,10019,(212) 810-2928,nan,nan,nan,nan,nan,nan,nan
71198,33D2158920,Physician Office,Microscopy,Westchester Medical Center Advanced,157 Layayette Ave - Suite 200,Suffern,NY,10901,(845) 288-1100,nan,nan,nan,nan,nan,nan,nan
71199,33D2159851,Physician Office,Compliance,"Pediatric Urgent Care Of Rochester, Pllc",6687 Pittsford Palmyra Rd - Ste 40,Fairport,NY,14450,(585) 678-8080,nan,nan,nan,nan,nan,nan,nan
71200,33D2159958,Physician Office,Registration,Advanced Dermatology Pc,101 3rd Street,Staten Island,NY,10306,(718) 351-8101,nan,nan,nan,nan,nan,nan,nan
71201,33D2160147,Physician Office,Registration,Fertility Medicine Of New York Pllc,"1160 Broadway, Suite 304",New York,NY,10001,(212) 481-8088,nan,nan,nan,nan,nan,nan,nan
71202,33D2160182,Physician Office,Compliance,North Shore Hematology Oncology Associates Pc,3111 New Hyde Park Rd,New Hyde Park,NY,11042,(516) 336-5255,nan,nan,nan,nan,nan,nan,nan
71204,33D2160375,Physician Office,Compliance,Schwarz & Ammirati Medical Associates Pllc,"450 Waverly Avenue, Suite 8",Patchogue,NY,11772,(212) 472-4802,nan,nan,nan,nan,nan,nan,nan
71205,33D2160585,Physician Office,Microscopy,Rochester Regional Health Batavia Dermatology,229 Summit St - Suite 7,Batavia,NY,14020,(585) 344-5368,nan,nan,nan,nan,nan,nan,nan
71207,33D2162532,Physician Office,Microscopy,Weill Cornell Medicine Dermatology At,425 E 61st Street,New York,NY,10065,(646) 962-3376,nan,nan,nan,nan,nan,nan,nan
71208,33D2163769,Physician Office,Microscopy,Galileo Medical Pc,399 Lafayette Street - 7th Floor,New York,NY,10003,(917) 810-3975,nan,nan,nan,nan,nan,nan,nan
71209,33D2165109,Physician Office,Compliance,Midtown Dermatology Services Pc,"317 East 34 Street, 11th Floor, Suite B",New York,NY,10016,(212) 686-7306,nan,nan,nan,nan,nan,nan,nan
71210,33D2165219,Physician Office,Compliance,Columbia University Fertility Center- Scarsdale,696 White Plains Rd,Scarsdale,NY,10583,(914) 723-7000,nan,nan,nan,nan,nan,nan,nan
71211,33D2165706,Physician Office,Microscopy,Stacey F Brisman MD Pc,50 Glen Cove Road,Greenvale,NY,11548,(516) 621-1982,nan,nan,nan,nan,nan,nan,nan
71212,33D2166223,Physician Office,Microscopy,South Nassau Medical Group Ob/Gyn Freeport,155 W Merrick Rd - Suite 204,Freeport,NY,11520,(516) 513-1439,nan,nan,nan,nan,nan,nan,nan
71213,33D2166495,Physician Office,Compliance,"Coney Island Medical Diagnostic Services, Pc","1704 Mermaid Ave, Ste 6",Brooklyn,NY,11224,(718) 265-0900,nan,nan,nan,nan,nan,nan,nan
71214,33D2167179,Physician Office,Registration,Radjabi Medical Pc,240 Central Park South - Suite 1p,New York,NY,10019,(212) 535-5350,nan,nan,nan,nan,nan,nan,nan
71216,33D2168114,Physician Office,Registration,Rochester Dermatologic Surgery Pc,7400 Pittsford Victor Road,Victor,NY,14564,(585) 222-1400,nan,nan,nan,nan,nan,nan,nan
71217,33D2169108,Physician Office,Microscopy,Olga Kheyson MD Pc,3371 Richmond Avenue,Staten Island,NY,10312,(929) 203-9494,nan,nan,nan,nan,nan,nan,nan
71218,33D2169538,Physician Office,Registration,Dr Scott G Brown Do Pc,"365 Broadway, Suite 2",Amityville,NY,11701,(631) 842-4000,nan,nan,nan,nan,nan,nan,nan
71219,33D2169750,Physician Office,Microscopy,Bethpage Urology,"4045 Hempstead Turnpike, Suite 202 B",Bethpage,NY,11714,(516) 396-1030,nan,nan,nan,nan,nan,nan,nan
71220,33D2169806,Physician Office,Registration,Arisdov Medical Pc,"20 East 46th Street, 9th Floor",New York,NY,10017,(646) 357-3155,nan,nan,nan,nan,nan,nan,nan
71221,33D2170416,Physician Office,Compliance,Emanuel Kouroups MD,27-47 Crescent St Ste 206,Astoria,NY,11102,(718) 204-1100,nan,nan,nan,nan,nan,nan,nan
71222,33D2170739,Physician Office,Microscopy,Rochester Regional Health Fertility Care,1561 Long Pond Rd - Suite 410,Rochester,NY,14626,(585) 453-7760,nan,nan,nan,nan,nan,nan,nan
71223,33D2170852,Physician Office,Microscopy,Four Seasons Dermatology LLC,2 Healey Avenue,Plattsburgh,NY,12901,(518) 310-3161,nan,nan,nan,nan,nan,nan,nan
71224,33D2170942,Physician Office,Microscopy,Nymc School Of Medicine Faculty Practice,19 Skyline Dr,Hawthorne,NY,10532,(914) 594-2260,nan,nan,nan,nan,nan,nan,nan
71227,33D2171482,Physician Office,Compliance,Atlantic Gastroenterology Pc,2797 Ocean Parkway,Brooklyn,NY,11235,(718) 615-4001,nan,nan,nan,nan,nan,nan,nan
71228,33D2171486,Physician Office,Compliance,Smg Pathology Diagnostics Pc,77a Powerhouse Rd,Roslyn Heights,NY,11577,(718) 507-4343,nan,nan,nan,nan,nan,nan,nan
71229,33D2171779,Physician Office,Microscopy,"Urban Family Doctor, Pllc",185 Ocean Avenue - #1a,Brooklyn,NY,11225,(347) 669-0017,nan,nan,nan,nan,nan,nan,nan
71230,33D2172211,Physician Office,Microscopy,Women's Wellness Place Pc,"5417 West Genesee Street, Suite 3",Camillus,NY,13031,(315) 478-1168,nan,nan,nan,nan,nan,nan,nan
71231,33D2172420,Physician Office,Registration,Yong Kang Medical Pllc,837 59th Street,Brooklyn,NY,11220,(718) 513-6606,nan,nan,nan,nan,nan,nan,nan
71232,33D2172423,Physician Office,Registration,Your Family Fertility Pllc,"1408 Sweet Home Road, #9-10",Buffalo,NY,14226,(716) 243-8377,nan,nan,nan,nan,nan,nan,nan
71233,33D2173040,Physician Office,Registration,Urology Dynamic Pc,130 East 18th Street,New York,NY,10003,(718) 268-7262,nan,nan,nan,nan,nan,nan,nan
71234,33D2173041,Physician Office,Registration,New York Fertility Medical Practice Pllc,110 East 60th Street,New York,NY,10022,(646) 502-5450,nan,nan,nan,nan,nan,nan,nan
71235,33D2173970,Physician Office,Microscopy,Westchester Medical Center Advanced,368 Broadway - Suite 101,Kingston,NY,12401,(914) 909-9018,nan,nan,nan,nan,nan,nan,nan
71237,33D2174343,Physician Office,Microscopy,Trinity Medical Ob/Gyn East Aurora,94 Olean St - Suite 120,East Aurora,NY,14052,(716) 458-1954,nan,nan,nan,nan,nan,nan,nan
71238,34D0239749,Physician Office,Microscopy,Avance Care - Clayton,"2076 Nc Highway 42 West, Suite 230",Clayton,NC,27520-2305,(919) 553-5711,nan,nan,nan,nan,nan,nan,nan
71239,34D0244241,Physician Office,Microscopy,Novant Health Randolph Ob/Gyn,"2711 Randolph Road, Suite 512",Charlotte,NC,28207,(704) 333-4104,nan,nan,nan,nan,nan,nan,nan
71240,34D0247841,Physician Office,Microscopy,Pardee Urological Associates,1216 6th Avenue West,Hendersonville,NC,28739,(858) 692-6262,nan,nan,nan,nan,nan,nan,nan
71242,34D0985184,Physician Office,Registration,Davidson Family Medicine,104 Knox Court Ste 100,Davidson,NC,28036,(704) 892-5454,nan,nan,nan,nan,nan,nan,nan
71243,34D1012407,Physician Office,Registration,R E Williford MD Pa,230 Foust Street,Asheboro,NC,27203,(336) 633-0407,nan,nan,nan,nan,nan,nan,nan
71244,34D1036041,Physician Office,Microscopy,Harris Urology,"98 Doctors Drive, Suite 100",Sylva,NC,28779,(828) 586-7820,nan,nan,nan,nan,nan,nan,nan
71245,34D1038246,Physician Office,Microscopy,Blue Ridge Healthcare Medical Group Inc,"730 Malcolm Boulevard, Suite 150",Connellys Springs,NC,28612,(828) 874-4600,nan,nan,nan,nan,nan,nan,nan
71247,34D1104330,Physician Office,Microscopy,Unc Women's Health At Clayton,"2076 Highway 42w, Suite 250",Clayton,NC,27520,(919) 550-3334,nan,nan,nan,nan,nan,nan,nan
71248,34D2023347,Physician Office,Microscopy,Wakemed Primary Care -,3020 New Bern Avenue 3rd Floor Mob,Raleigh,NC,27610,(919) 350-8284,nan,nan,nan,nan,nan,nan,nan
71249,34D2023349,Physician Office,Microscopy,Wakemed Primary Care -,150 East Davie Street,Raleigh,NC,27601,(919) 834-5299,nan,nan,nan,nan,nan,nan,nan
71250,34D2028291,Physician Office,Microscopy,Mountain Valley Health Center,117-D Foothills Drive,Morganton,NC,28655,(828) 580-2700,nan,nan,nan,nan,nan,nan,nan
71251,34D2032349,Physician Office,Microscopy,"Unc Physicians Network, LLC","6101 Quadrangle Drive, Suite 100",Chapel Hill,NC,27517,(919) 445-6000,nan,nan,nan,nan,nan,nan,nan
71252,34D2038505,Physician Office,Microscopy,Unc Primary Care At Goldsboro,"208 Cox Boulevard, Suite 102",Goldsboro,NC,27534,(919) 731-6018,nan,nan,nan,nan,nan,nan,nan
71253,34D2046750,Physician Office,Registration,Cpn Inc Dba Waxhaw Pediatrics,2700 Providence Road South Suite 350,Waxhaw,NC,28173,(704) 667-6735,nan,nan,nan,nan,nan,nan,nan
71254,34D2066229,Physician Office,Microscopy,Carolina Express Clinic,5110 Park Road,Charlotte,NC,28209,(704) 496-9100,nan,nan,nan,nan,nan,nan,nan
71255,34D2096769,Physician Office,Microscopy,Laurinburg Urology,521 Lauchwood Drive,Laurinburg,NC,28352,(910) 276-1702,nan,nan,nan,nan,nan,nan,nan
71256,34D2112654,Physician Office,Compliance,Novant Health Primary Care Gilead,"10030 Gilead Road, Suite 360",Huntersville,NC,28078,(704) 316-5560,nan,nan,nan,nan,nan,nan,nan
71257,34D2113253,Physician Office,Microscopy,Novant Health Ob/Gyn Southport,"1456 Howe Street, Suite 201",Southport,NC,28461,(910) 721-4050,nan,nan,nan,nan,nan,nan,nan
71259,34D2119358,Physician Office,Registration,"Prana Health, Pllc","1212 Central Drive, Suite 103",Sanford,NC,27330,(910) 824-7619,nan,nan,nan,nan,nan,nan,nan
71260,34D2126426,Physician Office,Microscopy,Cmc Myers Park General Surgery,1350 South Kings Drive,Charlotte,NC,28207,(704) 446-1255,nan,nan,nan,nan,nan,nan,nan
71261,34D2133181,Physician Office,Microscopy,Wfhn Complex Care - Westchester,"1814 Westchester Drive, Suite 202",High Point,NC,27262,(336) 802-2025,nan,nan,nan,nan,nan,nan,nan
71262,34D2136734,Physician Office,Registration,Novant Health Pediatrics Highland,5370 Ridge Road,Charlotte,NC,28269,(704) 316-1491,nan,nan,nan,nan,nan,nan,nan
71263,34D2146591,Physician Office,Microscopy,Duke Health Center South Durham,234 Crooked Creek Parkway Suite 400,Durham,NC,27713,(919) 684-3600,nan,nan,nan,nan,nan,nan,nan
71264,34D2147397,Physician Office,Microscopy,Asheboro Primary Care,223 Ward Street,Asheboro,NC,27203,(336) 702-1731,nan,nan,nan,nan,nan,nan,nan
71266,34D2148821,Physician Office,Registration,Novant Health Pediatrics Blakeney,"9924 Ardrey Kell Road, Suite 200",Charlotte,NC,28277,(704) 316-1495,nan,nan,nan,nan,nan,nan,nan
71267,34D2149806,Physician Office,Microscopy,Asheboro Dermatology & Skin Surgery Center,1007 North 6th Street,Albemarle,NC,28001,(336) 625-8410,nan,nan,nan,nan,nan,nan,nan
71269,34D2150928,Physician Office,Microscopy,Harris Specialty Clinic Franklin,55 Holly Springs Park Drive,Franklin,NC,28734,(828) 586-7424,nan,nan,nan,nan,nan,nan,nan
71270,34D2152337,Physician Office,Registration,"Iym Health Financial Services, LLC","331 W Main Street, Suite 503",Durham,NC,27701,(919) 619-1802,nan,nan,nan,nan,nan,nan,nan
71272,34D2154491,Physician Office,Microscopy,Unc Ob-Gyn At Carrboro,"410 N Greensboro Street, Suite 220",Carrboro,NC,27510,(984) 974-7005,nan,nan,nan,nan,nan,nan,nan
71273,34D2155012,Physician Office,Microscopy,"White Diamond Medical Clinic And Spa, Pllc","6225 Blakeney Park Drive, Suite B",Charlotte,NC,28277,(704) 542-9833,nan,nan,nan,nan,nan,nan,nan
71274,34D2155018,Physician Office,Registration,Novant Health Lake Norman Oncology University,8401 University Executive Park Drive,Charlotte,NC,28262,(704) 316-2016,nan,nan,nan,nan,nan,nan,nan
71275,34D2155114,Physician Office,Microscopy,Novant Health Mint Hill Ob/Gyn,"8201 Healthcare Loop, Suite 302",Charlotte,NC,28215,(704) 316-2319,nan,nan,nan,nan,nan,nan,nan
71276,34D2155115,Physician Office,Microscopy,Novant Health Carmel Ob/Gyn Wesley Chapel,6488 Weddington - Monroe Road,Weddington,NC,28104,(704) 384-1020,nan,nan,nan,nan,nan,nan,nan
71277,34D2155367,Physician Office,Registration,Carolina Skin Care & Mohs Surgery,"125 Fox Hollow Road, Suite 101",Pinehurst,NC,28374,(910) 295-7546,nan,nan,nan,nan,nan,nan,nan
71278,34D2155411,Physician Office,Microscopy,Highland Avenue Primary Care Clinic,650 N Highland Avenue Suite 120,Winston-Salem,NC,27101,(336) 718-4770,nan,nan,nan,nan,nan,nan,nan
71279,34D2155428,Physician Office,Microscopy,Sona Dermatology & Med Spa,7825 Ballantyne Commons Parkway,Charlotte,NC,28277,(980) 233-3280,nan,nan,nan,nan,nan,nan,nan
71281,34D2155508,Physician Office,Registration,Novant Health Wesley Chapel,6488 Weddington - Monroe Road,Weddington,NC,28104,(704) 316-5650,nan,nan,nan,nan,nan,nan,nan
71282,34D2155553,Physician Office,Registration,Carolina Men's Clinic Of Asheville,"141 Asheland Avenue, Suite 100",Asheville,NC,28801,(828) 222-0036,nan,nan,nan,nan,nan,nan,nan
71283,34D2156310,Physician Office,Microscopy,Sona Dermatology & Medspa,"9104 Falls Of Neuse Drive, Suite 310",Raleigh,NC,27615,(980) 233-3280,nan,nan,nan,nan,nan,nan,nan
71284,34D2156315,Physician Office,Microscopy,Sona Dermatology & Medspa,"74330 Oakhill Park, Suite 135",Huntersville,NC,28078,(980) 233-3280,nan,nan,nan,nan,nan,nan,nan
71285,34D2156646,Physician Office,Registration,Vidant Health Plex,3724 Raleigh Road Parkway West,Wilson,NC,27896,(252) 246-8840,nan,nan,nan,nan,nan,nan,nan
71286,34D2157198,Physician Office,Registration,Novant Health Cancer Specialists,"8201 Healthcare Loop, Suite 201",Charlotte,NC,28215,(980) 302-2000,nan,nan,nan,nan,nan,nan,nan
71287,34D2157354,Physician Office,Compliance,"Emergeortho, Pa","1050 Revolution Mill Drive, Suite 1a And 1b",Greensboro,NC,27405,(910) 332-0489,nan,nan,nan,nan,nan,nan,nan
71288,34D2157476,Physician Office,Microscopy,"Tidewater Skin Care & Pathology, Pc","4177 S Croatan Highway, Bldg B6",Nags Head,NC,27959,(252) 441-0515,nan,nan,nan,nan,nan,nan,nan
71289,34D2157759,Physician Office,Microscopy,Wake Forest Dermatology,2824 Rogers Roadm Suite 101,Wake Forest,NC,27587,(919) 488-0355,nan,nan,nan,nan,nan,nan,nan
71290,34D2158216,Physician Office,Microscopy,"Dlp Maria Parham Physician Practices, LLC","1501 North Bickett Boulevard, Suite E",Louisburg,NC,27549,(919) 497-8380,nan,nan,nan,nan,nan,nan,nan
71292,34D2158886,Physician Office,Microscopy,Avance Primaary Care,"210 Hinton Oaks Boulevard, Suite E",Knightdale,NC,27545,(919) 679-3177,nan,nan,nan,nan,nan,nan,nan
71294,34D2159830,Physician Office,Microscopy,"Remedy Skin, Hair, And Wellness","8145 Ardrey Kelly Road, Suite 202",Charlotte,NC,28277,(980) 218-0020,nan,nan,nan,nan,nan,nan,nan
71295,34D2159836,Physician Office,Microscopy,Adventhealth Medical Group Multispecialty,841 Case Street,Hendersonville,NC,28792,(828) 650-8255,nan,nan,nan,nan,nan,nan,nan
71297,34D2160706,Physician Office,Registration,Novant Health Hematology,3333 Silas Creek Parkway,Winston-Salem,NC,27103,(336) 277-8800,nan,nan,nan,nan,nan,nan,nan
71298,34D2160865,Physician Office,Microscopy,Mission Health Clinic Angel,120 Riverview Street,Franklin,NC,28734,(828) 369-4167,nan,nan,nan,nan,nan,nan,nan
71299,34D2160881,Physician Office,Microscopy,Movement Family Wellness Center,2225 Freedom Drive,Charlotte,NC,28208,(980) 302-9000,nan,nan,nan,nan,nan,nan,nan
71300,34D2160882,Physician Office,Microscopy,"Forefront Dermatology, Sc",7560 Carpenter Fire Station Road,Cary,NC,27519,(919) 439-4206,nan,nan,nan,nan,nan,nan,nan
71301,34D2161138,Physician Office,Microscopy,Coastal Direct Health And Wellness,"1022 Grandiflora Drive, Suite 120",Leland,NC,28451,(910) 803-3242,nan,nan,nan,nan,nan,nan,nan
71304,34D2161153,Physician Office,Registration,Novant Health Austin Village Family Medicine,4105 Matthews Mint Hill Road,Matthews,NC,28105,(704) 316-3095,nan,nan,nan,nan,nan,nan,nan
71305,34D2161332,Physician Office,Microscopy,"Carolina Urology Partners, Pllc","8201 Healthcare Loop, Suite 202",Charlotte,NC,28215,(704) 414-2857,nan,nan,nan,nan,nan,nan,nan
71307,34D2165800,Physician Office,Registration,Dermatology Laser And Vein Specialist,"10660 Park Road Extension, Suite 4150",Charlotte,NC,28210,(704) 375-6766,nan,nan,nan,nan,nan,nan,nan
71308,34D2166242,Physician Office,Microscopy,Novant Health Shallowford Family Medicine,165 Lowes Food Drive,Lewisville,NC,27023-8258,(336) 893-2270,nan,nan,nan,nan,nan,nan,nan
71309,34D2166276,Physician Office,Registration,Novant Health Lakeside Primary Care - Poplar Tent,9955 Poplar Tent Road,Concord,NC,28027,(704) 316-1161,nan,nan,nan,nan,nan,nan,nan
71310,34D2166587,Physician Office,Registration,Premier Pain,5710 Oleander Drive,Wilmington,NC,28403,(828) 548-1346,nan,nan,nan,nan,nan,nan,nan
71311,34D2166681,Physician Office,Microscopy,Women's Health Group - Hickory,"2134 14th Avenue Circle Nw, Suite B",Hickory,NC,28601,(828) 580-2129,nan,nan,nan,nan,nan,nan,nan
71312,34D2166746,Physician Office,Microscopy,Wakemed Urgent Care,811 Us 70,Garner,NC,27529,(919) 350-7180,nan,nan,nan,nan,nan,nan,nan
71313,34D2166964,Physician Office,Microscopy,Wakemed Primary Care -,"222 Ashville Avenue, Suite 10",Cary,NC,27518,(919) 350-8151,nan,nan,nan,nan,nan,nan,nan
71314,34D2166966,Physician Office,Microscopy,Wakemed Urgent Care,231 N Judd Parkway Ne,Fuquay Varina,NC,27526,(919) 350-7180,nan,nan,nan,nan,nan,nan,nan
71315,34D2166971,Physician Office,Microscopy,Caromont Family Medicine,3326 Bessemer City Road,Bessemer City,NC,28016,(704) 629-3206,nan,nan,nan,nan,nan,nan,nan
71317,34D2166975,Physician Office,Microscopy,Mission Urology Biltmore Park,"310 Long Shoals Road, Suite 320",Arden,NC,28704,(828) 254-8883,nan,nan,nan,nan,nan,nan,nan
71320,34D2167242,Physician Office,Microscopy,Scotland Nephrology,601 Lauchwood Drive,Laurinburg,NC,28352,(910) 504-8500,nan,nan,nan,nan,nan,nan,nan
71323,34D2167556,Physician Office,Microscopy,Novant Health Mint Hill Ob / Gyn Town Center,"11300 Cresthill Drive, Suite 100",Mint Hill,NC,28227,(704) 316-2319,nan,nan,nan,nan,nan,nan,nan
71325,34D2167813,Physician Office,Microscopy,"Hope Regional Medical Clinic, Pllc",546 W Ridgeway Street,Warrenton,NC,27589,(252) 242-1010,nan,nan,nan,nan,nan,nan,nan
71327,34D2167833,Physician Office,Microscopy,Duke Women's Health - Holly Springs,401 Irving Parkway,Holly Springs,NC,27540,(919) 385-3800,nan,nan,nan,nan,nan,nan,nan
71328,34D2167855,Physician Office,Microscopy,Novant Health Midwifery,245 Charlois Boulevard,Winston-Salem,NC,27103,(336) 718-6280,nan,nan,nan,nan,nan,nan,nan
71329,34D2168003,Physician Office,Registration,Pinehurst Surgical Clinic - Pa Ent,5 First Village Drive,Pinehurst,NC,28374,(910) 235-9753,nan,nan,nan,nan,nan,nan,nan
71331,34D2168129,Physician Office,Registration,Novant Health Pediatrics King,"167 Moore Road, Suite 201",King,NC,27021-8770,(336) 673-6470,nan,nan,nan,nan,nan,nan,nan
71332,34D2168132,Physician Office,Registration,Novant Health Mountainview,"167 Moore Road, Suite 201",King,NC,27021-8770,(336) 893-4346,nan,nan,nan,nan,nan,nan,nan
71333,34D2168135,Physician Office,Microscopy,Novant Health Primary Care Tyro,"4705 Nc Hwy 150 South, Suite B & C",Lexington,NC,27295-5203,(336) 481-1780,nan,nan,nan,nan,nan,nan,nan
71335,34D2168517,Physician Office,Microscopy,"Clay, Wilson & Assoc, Inc Dba","929 15th Street Ne, Suite 100",Hickory,NC,28601,(828) 327-6026,nan,nan,nan,nan,nan,nan,nan
71336,34D2168553,Physician Office,Registration,Wake Skin Cancer Center,"110 Capcom Avenue, Suite 103",Wake Forest,NC,27587,(919) 436-4124,nan,nan,nan,nan,nan,nan,nan
71338,34D2169424,Physician Office,Registration,Spring Life,200 Becker Drive,Roanoke Rapids,NC,27870,(919) 704-3044,nan,nan,nan,nan,nan,nan,nan
71339,34D2169450,Physician Office,Registration,"Lamond Family Medicine, Pllc",1705 Asheville Highway,Hendersonville,NC,28791,(828) 388-5860,nan,nan,nan,nan,nan,nan,nan
71340,34D2169789,Physician Office,Registration,Integrated Dermatology Of North,"3809 Computer Drive, Suite 200",Raleigh,NC,27609,(561) 989-0027,nan,nan,nan,nan,nan,nan,nan
71341,34D2170524,Physician Office,Microscopy,Wakemed Primary Care - Holly,"101 Cotten Lane, Suite 101-2",Holly Springs,NC,27540,(919) 350-7180,nan,nan,nan,nan,nan,nan,nan
71343,34D2171276,Physician Office,Microscopy,Wakemed Urgent Care,"2930 Forestville Road, Suite 100",Raleigh,NC,27616,(919) 350-7180,nan,nan,nan,nan,nan,nan,nan
71344,34D2171277,Physician Office,Microscopy,Wakemed Maternal Fetal,"101 Cotten Lane, Suite 101-2",Holly Springs,NC,27540,(919) 350-7180,nan,nan,nan,nan,nan,nan,nan
71345,34D2171485,Physician Office,Registration,Cpn Dba Atrium Health Urgent,"9325 Jw Clay Boulevard, Suite 221",Charlotte,NC,28262,(704) 863-9050,nan,nan,nan,nan,nan,nan,nan
71346,34D2171519,Physician Office,Microscopy,Novant Health Noda Ob/Gyn,"416 East 36th Street, Suite 200",Charlotte,NC,28205,(980) 302-9820,nan,nan,nan,nan,nan,nan,nan
71347,34D2171575,Physician Office,Registration,Wilmington Health,1124 Gallery Park Boulevard,Wilmington,NC,28412,(910) 341-3354,nan,nan,nan,nan,nan,nan,nan
71348,34D2171741,Physician Office,Registration,Cpn Dba Atrium Health Urgent Care,11115-B Golf Links Drive,Charlotte,NC,28277,(704) 667-0080,nan,nan,nan,nan,nan,nan,nan
71349,34D2172113,Physician Office,Microscopy,Carolina Foot & Ankle Specialists,"1505 Sw Cary Parkway, Suite 200",Cary,NC,27511,(919) 846-1111,nan,nan,nan,nan,nan,nan,nan
71350,34D2172114,Physician Office,Microscopy,Carolina Foot & Ankle Specialists,"6602 Knightdale Boulevard,",Knightdale,NC,27545,(919) 846-1111,nan,nan,nan,nan,nan,nan,nan
71351,34D2172117,Physician Office,Microscopy,Carolina Foot & Ankle Specialists,"8305 Falls Of Neuse Road,",Raleigh,NC,27615,(919) 846-1111,nan,nan,nan,nan,nan,nan,nan
71352,34D2172120,Physician Office,Microscopy,Wakemed Primary Care -,"11640 Northpark Drive,",Wake Forest,NC,27587,(919) 350-7180,nan,nan,nan,nan,nan,nan,nan
71353,34D2172122,Physician Office,Microscopy,Wakemed Primary Care - West Cary,7560 Carpenter Fire Station Road,Cary,NC,27519,(919) 350-7180,nan,nan,nan,nan,nan,nan,nan
71356,34D2172553,Physician Office,Microscopy,App Family Medicine,148 Hwy 105 Ext Suite 102,Boone,NC,28607,(828) 386-2222,nan,nan,nan,nan,nan,nan,nan
71357,34D2172594,Physician Office,Microscopy,Carolina Elite Women's Care,"2501 Atrium Drive, Suite 310",Raleigh,NC,27607,(919) 977-7095,nan,nan,nan,nan,nan,nan,nan
71358,34D2173017,Physician Office,Microscopy,Westside Ob-Gyn Center Moses,3940 Arrowhead Boulevard,Mebane,NC,27302,(336) 538-7824,nan,nan,nan,nan,nan,nan,nan
71359,34D2174090,Physician Office,Microscopy,Novant Health Mint Hill Ob/Gyn - Harrisburg,6555 Kee Lane,Harrisburg,NC,28075,(704) 316-2319,nan,nan,nan,nan,nan,nan,nan
71360,34D2174337,Physician Office,Microscopy,Novant Health Michael Jordan Family Medicine,3149 Freedom Drive,Charlotte,NC,28202,(980) 302-9405,nan,nan,nan,nan,nan,nan,nan
71363,34D2174439,Physician Office,Microscopy,Sona Dermatology & Medspa,"1300 Baxter Street, Suite 170",Charlotte,NC,28204,(980) 233-3280,nan,nan,nan,nan,nan,nan,nan
71364,36D0331199,Physician Office,Microscopy,Mercy Medical Partners Northern Region,1400 E 2nd Street,Defiance,OH,43512,(419) 783-3238,nan,nan,nan,nan,nan,nan,nan
71365,36D0346268,Physician Office,Microscopy,Tchma - Compton,24 Compton Road,Cincinnati,OH,45216,(513) 761-2776,nan,nan,nan,nan,nan,nan,nan
71366,36D0948505,Physician Office,Microscopy,Ohiohealth Physician Group Urology,500 E Main Street,Columbus,OH,43215,(614) 222-3369,nan,nan,nan,nan,nan,nan,nan
71367,36D0964506,Physician Office,Microscopy,"Kidney & Hypertension Center, The",1210 Hicks Blvd,Fairfield,OH,45014,(513) 241-5630,nan,nan,nan,nan,nan,nan,nan
71368,36D1028226,Physician Office,Microscopy,Springboro Family Medicine,630 N Main St,Springboro,OH,45066,(937) 748-4211,nan,nan,nan,nan,nan,nan,nan
71369,36D1059169,Physician Office,Microscopy,University Hospitals - Pediatric Surgery,960 Clague Road,Westlake,OH,44145,(216) 286-6876,nan,nan,nan,nan,nan,nan,nan
71370,36D1084632,Physician Office,Microscopy,Fisher-Titus Medical Care LLC,115 N Main Street,North Fairfield,OH,44855,(419) 744-2249,nan,nan,nan,nan,nan,nan,nan
71371,36D2016572,Hospital,Accreditation,Uc Medical Center Ridgeway Tower,3200 Burnet Ave,Cincinnati,OH,45229,(513) 584-8541,nan,nan,nan,nan,nan,nan,nan
71372,36D2024321,Physician Office,Microscopy,Ohiohealth Primary Care Physicians,504 Havens Corners Road,Gahanna,OH,43230,(614) 544-4025,nan,nan,nan,nan,nan,nan,nan
71373,36D2028967,Physician Office,Microscopy,University Hospitals Cleveland Medical Center,44 Blaine Avenue,Bedford,OH,44146,(440) 735-0891,nan,nan,nan,nan,nan,nan,nan
